,date,turnover<0,turnover>0,ХЃам<0,ХЃам>0
235,2009/12/21,1487452.935,1567425.499,1487452.935,1648485.392
236,2009/12/22,1487452.935,1567425.499,1487452.935,1648485.392
237,2009/12/23,1487452.935,1567425.499,1487452.935,1648485.392
238,2009/12/24,1487452.935,1567425.499,1487452.935,1648485.392
239,2009/12/25,1487452.935,1567425.499,1487452.935,1648485.392
240,2009/12/28,1487452.935,1567425.499,1487452.935,1648485.392
241,2009/12/29,1487452.935,1567425.499,1487452.935,1648485.392
242,2009/12/30,1487452.935,1567425.499,1487452.935,1648485.392
243,2009/12/31,1487452.935,1567425.499,1487452.935,1648485.392
244,2010/1/4,1487452.935,1567425.499,1487452.935,1648485.392
245,2010/1/5,1487452.935,1567425.499,1487452.935,1648485.392
246,2010/1/6,1487452.935,1567425.499,1487452.935,1648485.392
247,2010/1/7,1487452.935,1567425.499,1487452.935,1648485.392
248,2010/1/8,1487452.935,1567425.499,1487452.935,1648485.392
249,2010/1/11,1487452.935,1567425.499,1487452.935,1648485.392
250,2010/1/12,1487452.935,1567425.499,1487452.935,1648485.392
251,2010/1/13,1487452.935,1567425.499,1487452.935,1648485.392
252,2010/1/14,1487452.935,1567425.499,1487452.935,1648485.392
253,2010/1/15,1487452.935,1567425.499,1487452.935,1648485.392
254,2010/1/18,1487452.935,1567425.499,1487452.935,1648485.392
255,2010/1/19,1487452.935,1567425.499,1487452.935,1648485.392
256,2010/1/20,1487452.935,1567425.499,1487452.935,1648485.392
257,2010/1/21,1487452.935,1567425.499,1487452.935,1648485.392
258,2010/1/22,1487452.935,1567425.499,1487452.935,1648485.392
259,2010/1/25,1487452.935,1567425.499,1487452.935,1648485.392
260,2010/1/26,1487452.935,1567425.499,1487452.935,1648485.392
261,2010/1/27,1487452.935,1567425.499,1487452.935,1648485.392
262,2010/1/28,1487452.935,1567425.499,1487452.935,1648485.392
263,2010/1/29,1487452.935,1567425.499,1487452.935,1648485.392
264,2010/2/1,1487452.935,1567425.499,1487452.935,1648485.392
265,2010/2/2,1487452.935,1567425.499,1487452.935,1648485.392
266,2010/2/3,1487452.935,1567425.499,1487452.935,1648485.392
267,2010/2/4,1487452.935,1567425.499,1487452.935,1648485.392
268,2010/2/5,1487452.935,1567425.499,1487452.935,1648485.392
269,2010/2/8,1487452.935,1567425.499,1487452.935,1648485.392
270,2010/2/9,1487452.935,1567425.499,1487452.935,1648485.392
271,2010/2/10,1487452.935,1567425.499,1487452.935,1648485.392
272,2010/2/11,1487452.935,1567425.499,1487452.935,1648485.392
273,2010/2/12,1487452.935,1567425.499,1487452.935,1648485.392
274,2010/2/22,1487323.601,1567425.499,1487452.935,1648323.725
275,2010/2/23,1473435.601,1567425.499,1487452.935,1630963.725
276,2010/2/24,1491775.601,1567425.499,1487452.935,1653888.725
277,2010/2/25,1510835.601,1567425.499,1487452.935,1677713.725
278,2010/2/26,1506651.601,1567425.499,1487452.935,1672483.725
279,2010/3/1,1523751.601,1567425.499,1487452.935,1693692.504
280,2010/3/2,1518479.601,1567425.499,1487452.935,1693692.504
281,2010/3/3,1528015.601,1567425.499,1487452.935,1693692.504
282,2010/3/4,1494081.578,1567425.499,1487452.935,1693692.504
283,2010/3/5,1494081.578,1567425.499,1487452.935,1693692.504
284,2010/3/8,1494081.578,1567425.499,1487452.935,1693692.504
285,2010/3/9,1494081.578,1567425.499,1487452.935,1693692.504
286,2010/3/10,1494081.578,1567425.499,1487452.935,1693692.504
287,2010/3/11,1494081.578,1567425.499,1487452.935,1693692.504
288,2010/3/12,1494081.578,1567425.499,1487452.935,1693692.504
289,2010/3/15,1494081.578,1567425.499,1487452.935,1693692.504
290,2010/3/16,1494081.578,1567425.499,1487452.935,1693692.504
291,2010/3/17,1494081.578,1567425.499,1487452.935,1693692.504
292,2010/3/18,1494081.578,1567425.499,1487452.935,1693692.504
293,2010/3/19,1494081.578,1567425.499,1487452.935,1693692.504
294,2010/3/22,1494081.578,1567425.499,1487452.935,1693692.504
295,2010/3/23,1494081.578,1567425.499,1487452.935,1693692.504
296,2010/3/24,1494081.578,1567425.499,1487452.935,1693692.504
297,2010/3/25,1494081.578,1567425.499,1487452.935,1693692.504
298,2010/3/26,1494081.578,1567425.499,1487452.935,1693692.504
299,2010/3/29,1494081.578,1567425.499,1487452.935,1693692.504
300,2010/3/30,1494081.578,1567425.499,1487452.935,1693692.504
301,2010/3/31,1494081.578,1567425.499,1487452.935,1693692.504
302,2010/4/1,1494081.578,1567425.499,1487452.935,1693692.504
303,2010/4/2,1494081.578,1567425.499,1487452.935,1693692.504
304,2010/4/6,1494081.578,1567425.499,1487452.935,1693692.504
305,2010/4/7,1494081.578,1567425.499,1487452.935,1693692.504
306,2010/4/8,1494081.578,1567425.499,1487452.935,1693692.504
307,2010/4/9,1494081.578,1567425.499,1487452.935,1693692.504
308,2010/4/12,1494081.578,1567425.499,1487452.935,1693692.504
309,2010/4/13,1494081.578,1567425.499,1487452.935,1693692.504
310,2010/4/14,1494081.578,1567425.499,1487452.935,1693692.504
311,2010/4/15,1494081.578,1567425.499,1487452.935,1693692.504
312,2010/4/16,1494081.578,1567425.499,1487452.935,1693692.504
313,2010/4/19,1494081.578,1567425.499,1487452.935,1693692.504
314,2010/4/20,1494081.578,1567425.499,1487452.935,1693692.504
315,2010/4/21,1494081.578,1567425.499,1487452.935,1693692.504
316,2010/4/22,1494081.578,1567425.499,1487452.935,1693692.504
317,2010/4/23,1494081.578,1567425.499,1487452.935,1693692.504
318,2010/4/26,1494081.578,1567425.499,1487452.935,1693692.504
319,2010/4/27,1494081.578,1567425.499,1487452.935,1693692.504
320,2010/4/28,1494081.578,1567425.499,1487452.935,1693692.504
321,2010/4/29,1494081.578,1567425.499,1487452.935,1693692.504
322,2010/4/30,1494081.578,1567425.499,1487452.935,1693692.504
323,2010/5/4,1494081.578,1567425.499,1487452.935,1693692.504
324,2010/5/5,1494081.578,1567425.499,1487452.935,1693692.504
325,2010/5/6,1494081.578,1567425.499,1487452.935,1693692.504
326,2010/5/7,1494081.578,1567425.499,1487452.935,1693692.504
327,2010/5/10,1494081.578,1567425.499,1487452.935,1693692.504
328,2010/5/11,1494081.578,1567425.499,1487452.935,1693692.504
329,2010/5/12,1494081.578,1567425.499,1487452.935,1693692.504
330,2010/5/13,1494081.578,1567425.499,1487452.935,1693692.504
331,2010/5/14,1494081.578,1567425.499,1487452.935,1693692.504
332,2010/5/17,1494081.578,1567425.499,1487452.935,1693692.504
333,2010/5/18,1494081.578,1567425.499,1487452.935,1693692.504
334,2010/5/19,1494081.578,1567425.499,1487452.935,1693692.504
335,2010/5/20,1494081.578,1567425.499,1487452.935,1693692.504
336,2010/5/21,1494081.578,1567425.499,1487452.935,1693692.504
337,2010/5/24,1494081.578,1567425.499,1487452.935,1693692.504
338,2010/5/25,1494081.578,1567425.499,1487452.935,1693692.504
339,2010/5/26,1494081.578,1567425.499,1487452.935,1693692.504
340,2010/5/27,1494081.578,1567425.499,1487452.935,1693692.504
341,2010/5/28,1494081.578,1567425.499,1487452.935,1693692.504
342,2010/5/31,1494081.578,1567425.499,1487452.935,1693692.504
343,2010/6/1,1494081.578,1567425.499,1487452.935,1693692.504
344,2010/6/2,1494081.578,1567425.499,1487452.935,1693692.504
345,2010/6/3,1494081.578,1567425.499,1487452.935,1693692.504
346,2010/6/4,1494081.578,1567425.499,1487452.935,1693692.504
347,2010/6/7,1494081.578,1567425.499,1487452.935,1693692.504
348,2010/6/8,1494081.578,1567425.499,1487452.935,1693692.504
349,2010/6/9,1494081.578,1567425.499,1487452.935,1693692.504
350,2010/6/10,1494081.578,1567425.499,1487452.935,1693692.504
351,2010/6/11,1494081.578,1567425.499,1487452.935,1693692.504
352,2010/6/17,1494081.578,1567425.499,1487452.935,1693692.504
353,2010/6/18,1494081.578,1567425.499,1487452.935,1693692.504
354,2010/6/21,1494081.578,1567425.499,1487452.935,1693692.504
