date,tr_norm,tr_modfy,tr_right,bb_norm,bb_modfy,bb_right
5/1/2010,-0.222594657,-0.25610615,-0.268043647,0.225795009,0.225910237,0.230118797
6/1/2010,-0.544242314,-0.542343935,-0.539928141,0.115068681,0.116334244,0.125336561
7/1/2010,-0.143456074,-0.138251478,-0.137988038,0.27220733,0.273584018,0.279596845
8/1/2010,-0.160341109,-0.153373127,-0.152752307,0.298000378,0.303860301,0.311220557
11/1/2010,-0.324826489,-0.31785359,-0.314390872,0.673783505,0.677533441,0.678209654
12/1/2010,-0.376617286,-0.368378119,-0.365825665,0.567826766,0.586368705,0.589607345
13/1/2010,-0.26323361,-0.262887995,-0.260015749,0.302493237,0.340975939,0.344034826
14/1/2010,-0.151721965,-0.144469989,-0.139244694,-0.112701204,-0.068083657,-0.071660454
15/1/2010,-0.281918656,-0.290640608,-0.281993859,-0.173656371,-0.137187841,-0.138211793
18/1/2010,-0.132270605,-0.141215734,-0.137519428,0.012909022,0.025648194,0.017064872
19/1/2010,0.230676799,0.208623957,0.218133689,-0.177468454,-0.158745736,-0.168919855
20/1/2010,0.185014315,0.183749638,0.193681716,0.189523921,0.182120451,0.166049784
21/1/2010,0.037693959,0.054101048,0.066448256,0.513027298,0.490338242,0.474397456
22/1/2010,0.226899533,0.243211649,0.250076883,0.634361704,0.61077906,0.594720296
25/1/2010,0.275132121,0.311528112,0.327578085,0.738499211,0.718128596,0.711529586
26/1/2010,0.303770757,0.347605227,0.367497271,0.702851486,0.670284146,0.656570147
27/1/2010,0.098348308,0.088728483,0.096122736,0.557832508,0.482247122,0.45743095
28/1/2010,0.180965919,0.174765031,0.184283376,0.536239985,0.455254483,0.426246696
29/1/2010,0.321412381,0.316490143,0.32314881,0.611962452,0.551878143,0.532383961
1/2/2010,0.164025519,0.139648727,0.13256233,0.688884598,0.64318219,0.62835773
2/2/2010,-0.149208474,-0.174769634,-0.184481474,0.810927009,0.764692578,0.749234975
3/2/2010,-0.199040422,-0.223718207,-0.233602425,0.829559573,0.79127701,0.779311318
4/2/2010,0.022311421,-0.017234916,-0.035491536,0.802416016,0.776292477,0.762977346
5/2/2010,-0.139803728,-0.160357539,-0.172942811,0.583985343,0.567025702,0.545904198
8/2/2010,-0.398286919,-0.40041488,-0.396940296,0.295542451,0.284886863,0.264269572
9/2/2010,-0.517218654,-0.513679063,-0.507324836,0.127285171,0.118222046,0.08869796
10/2/2010,-0.209521246,-0.211336181,-0.216714747,-0.231857005,-0.226708957,-0.236047441
11/2/2010,-0.301289984,-0.302977057,-0.305854074,-0.213686544,-0.215782666,-0.218378571
12/2/2010,0.031957349,0.017453039,0.024211185,0.179858371,0.15943958,0.164000184
22/2/2010,-0.039014862,-0.044267316,-0.045937074,0.524530525,0.507800689,0.516005616
23/2/2010,-0.031804979,-0.035643294,-0.040574033,0.426686338,0.403394594,0.407077975
24/2/2010,0.118443946,0.120959741,0.104257386,0.254193839,0.242576069,0.255101599
25/2/2010,0.282583899,0.281668319,0.267808964,0.003786339,0.023209982,0.06236598
26/2/2010,0.277670706,0.290872714,0.284977563,-0.185733318,-0.155975179,-0.111326309
1/3/2010,-0.219200314,-0.205268325,-0.120911497,-0.307743066,-0.300543042,-0.267935394
2/3/2010,-0.134702078,-0.116211063,-0.051102954,-0.383545516,-0.395395619,-0.380863282
3/3/2010,-0.120817777,-0.110821663,-0.053497257,-0.311508568,-0.318432201,-0.319760651
4/3/2010,-0.008565628,0.023749978,0.083999319,-0.223892555,-0.25947329,-0.283564568
5/3/2010,-0.293879693,-0.25176701,-0.159507394,-0.049767113,-0.062168857,-0.061569816
8/3/2010,-0.362015577,-0.316297114,-0.200997428,0.086098086,0.103910828,0.180866443
9/3/2010,-0.09527886,-0.045345908,0.072951906,-0.20992397,-0.205444555,-0.162143362
10/3/2010,-0.028814753,0.015931021,0.115754563,-0.483405848,-0.474453837,-0.423606656
11/3/2010,0.045231713,0.08942422,0.169440888,-0.58708719,-0.591889005,-0.589672635
12/3/2010,-0.105953712,-0.0403212,0.032380525,-0.61250467,-0.622723674,-0.619176166
15/3/2010,0.241400846,0.250722803,0.281076512,-0.593700878,-0.596264696,-0.590723433
16/3/2010,0.267023294,0.272298367,0.302084309,-0.464764966,-0.474033395,-0.46644133
17/3/2010,0.336236133,0.334795825,0.322388031,-0.457357842,-0.466471911,-0.447039038
18/3/2010,0.256055203,0.252005688,0.244459937,-0.238395158,-0.237327498,-0.241055748
19/3/2010,0.137736752,0.130228054,0.125393232,-0.230843711,-0.231751398,-0.236542577
22/3/2010,0.135411061,0.130336621,0.13000043,-0.206266621,-0.209091816,-0.217080504
23/3/2010,-0.039020514,-0.046566708,-0.039785618,-0.333486309,-0.335542154,-0.344810701
24/3/2010,-0.003935385,-0.013651333,-0.003647501,-0.673942822,-0.682953338,-0.704664691
25/3/2010,-0.208766725,-0.216391821,-0.227104158,-0.247917947,-0.254725354,-0.282580366
26/3/2010,0.00037143,-0.02043912,-0.028428932,0.469064848,0.446996743,0.442605338
29/3/2010,0.139221939,0.123103938,0.117504169,0.415190996,0.448158218,0.449267578
30/3/2010,-0.269714976,-0.258244576,-0.265740733,0.551872281,0.577225142,0.583506901
31/3/2010,-0.286392671,-0.252355379,-0.254306953,0.46613375,0.441814729,0.436862604
1/4/2010,-0.305782196,-0.25755274,-0.256857053,0.314530965,0.235708556,0.228903578
