,name,date,open,high,low,close,beta,R2,ret,beta_norm,beta_modfy,beta_right
4058,沪深300,2021/9/10,4967.98,5042.8,4962.37,5013.52,0.76192044,0.741880656,0.00875451,-1.359918103,-1.008896933,-0.768699195
4059,沪深300,2021/9/13,5006.77,5029.72,4964.96,4991.66,0.820204758,0.846982213,-0.00436021,-0.81098944,-0.68689363,-0.563393424
4060,沪深300,2021/9/14,4989.83,5000.98,4907.32,4917.16,0.838075331,0.872814325,-0.014924895,-0.642714361,-0.560970301,-0.470135371
4061,沪深300,2021/9/15,4903.85,4903.85,4843.12,4867.32,0.854258557,0.878343032,-0.010135932,-0.490424564,-0.430760999,-0.367981269
4062,沪深300,2021/9/16,4866.79,4879.53,4806.14,4807.7,0.884952789,0.870141885,-0.012249041,-0.202430532,-0.176143284,-0.155878491
4063,沪深300,2021/9/17,4797.11,4857.96,4786.09,4855.94,0.883802158,0.86181787,0.010033904,-0.213139685,-0.183687589,-0.162343488
4064,沪深300,2021/9/22,4770.73,4830.85,4765.23,4821.77,0.889772584,0.869889678,-0.007036743,-0.157123232,-0.136679877,-0.121614008
4065,沪深300,2021/9/23,4848.22,4877.34,4837.56,4853.2,0.913035157,0.895895656,0.006518353,0.060635904,0.054323443,0.049599213
4066,沪深300,2021/9/24,4845.64,4897.06,4838.54,4849.43,0.924849136,0.885969853,-0.000776807,0.171028481,0.151526078,0.140138762
4067,沪深300,2021/9/27,4870.85,4922.56,4852.2,4877.37,0.922502578,0.880275713,0.005761502,0.148381781,0.130616878,0.120494407
4068,沪深300,2021/9/28,4869.08,4901.31,4846.63,4883.83,0.910624419,0.874725811,0.001324484,0.03624167,0.031701524,0.028868182
4069,沪深300,2021/9/29,4846.02,4868.07,4799.88,4833.93,0.911552492,0.850587917,-0.010217391,0.044228476,0.037620207,0.034292793
4070,沪深300,2021/9/30,4843.95,4876.07,4843.95,4866.38,1.016387256,0.926046033,0.006712964,1.026072633,0.950190492,0.965761507
4071,沪深300,2021/10/8,4915.73,4937.09,4891.62,4929.94,1.021109183,0.916840487,0.013061043,1.069634784,0.980684476,1.001385924
4072,沪深300,2021/10/11,4941.29,4983.73,4930.71,4936.19,1.008409946,0.909627123,0.001267764,0.947762284,0.86211028,0.86936058
4073,沪深300,2021/10/12,4920.66,4925.49,4840.77,4883.84,1.017566068,0.935969199,-0.010605345,1.031882119,0.965809881,0.982775362
4074,沪深300,2021/10/13,4880.14,4953.37,4869.83,4940.11,0.988367732,0.934763017,0.011521671,0.753981243,0.704793781,0.696595431
